,Bedrooms,Bathrooms,Status,Size,Location,Price,Facing,Type
627,0,0,0,1674,22,30.19,1,3
628,0,0,0,1953,22,35.8,1,3
629,0,0,0,1503,13,30.06,8,3
630,0,0,0,1746,13,34.92,8,3
631,0,0,0,1584,20,26.4,1,3
632,0,0,0,1647,22,30.19,1,3
634,0,0,0,1503,20,20.04,1,3
635,0,0,0,1602,20,21.36,1,3
636,0,0,0,1674,13,22.32,1,3
637,0,0,0,1197,20,15.96,0,3
638,0,0,0,1278,20,17.04,0,3
639,0,0,0,1206,20,16.08,0,3
640,0,0,0,1413,20,18.05,1,3
641,0,0,0,1350,20,18.0,1,3
642,0,0,0,2430,13,32.4,0,3
643,0,0,0,1773,13,23.64,0,3
645,0,0,0,1197,20,15.96,1,3
647,0,0,0,1557,22,28.54,0,3
648,0,0,0,1647,13,32.94,2,3
649,0,0,0,1782,22,31.48,8,3
650,0,0,0,1647,22,29.09,8,3
651,0,0,0,1818,22,33.33,0,3
652,0,0,0,1620,22,28.62,1,3
653,0,0,0,1440,13,19.2,8,3
654,0,0,0,2340,13,48.1,0,3
655,0,0,0,2142,13,44.03,0,3
656,0,0,0,1728,13,34.56,8,3
657,0,0,0,3942,13,81.03,0,3
658,0,0,0,3213,13,66.04,1,3
659,0,0,0,2142,13,42.84,8,3
660,0,0,0,3366,13,46.88,3,3
661,0,0,0,1746,13,34.92,8,3
662,0,0,0,1395,13,27.9,8,3
663,0,0,0,3942,13,87.6,3,3
664,0,0,0,3213,13,71.4,3,3
666,0,0,0,1647,13,33.85,0,3
667,0,0,0,1836,22,32.43,8,3
668,0,0,0,1980,22,36.3,0,3
669,0,0,0,1350,61,20.25,2,3
670,0,0,0,1503,31,19.2,0,3
671,0,0,0,2034,13,27.12,8,3
672,0,0,0,1440,13,28.8,8,3
673,0,0,0,1683,13,22.44,8,3
674,0,0,0,1395,13,18.6,8,3
675,0,0,0,1998,13,41.07,1,3
676,0,0,0,1953,13,39.06,8,3
677,0,0,0,2520,13,50.4,8,3
678,0,0,0,2088,13,41.76,8,3
679,0,0,0,1872,13,38.48,0,3
680,0,0,0,1557,13,32.0,0,3
681,0,0,0,1602,13,32.93,0,3
682,0,0,0,1494,13,30.71,0,3
683,0,0,0,1512,13,31.08,0,3
